SampleID,Date,RSC,Pool,Up_or_down,Water_column,pH
TC_RSC_IS_P1_009,20230329,in-stream,I1,upstream,submerged,4.837
TC_RSC_IS_P1_010,20230329,in-stream,I1,upstream,submerged,6.242
TC_RSC_IS_P1_011,20230329,in-stream,I1,upstream,submerged,6.411
TC_RSC_IS_P1_012,20230329,in-stream,I1,upstream,submerged,4.3
TC_RSC_IS_P4_013,20230329,in-stream,I4,downstream,submerged,5.405
TC_RSC_IS_P4_014,20230329,in-stream,I4,downstream,submerged,5.649
TC_RSC_IS_P4_015,20230329,in-stream,I4,downstream,submerged,6.182
TC_RSC_IS_P4_016,20230329,in-stream,I4,downstream,submerged,3.735
TC_RSC_IS_P4i_017,20230329,in-stream,I4,downstream,island,6.245
TC_RSC_IS_P4i_018,20230329,in-stream,I4,downstream,island,6.399
TC_RSC_IS_P4i_019,20230329,in-stream,I4,downstream,island,6.337
TC_RSC_IS_P4i_020,20230329,in-stream,I4,downstream,island,5.889
TC_RSC_Dr_P4_021,20230329,dry,D4,upstream,dry,6.212
TC_RSC_Dr_P4_022,20230329,dry,D4,upstream,dry,5.851
TC_RSC_Dr_P4_023,20230329,dry,D4,upstream,dry,5.729
TC_RSC_Dr_P4_024,20230329,dry,D4,upstream,dry,5.803
TC_RSC_Dr_P5_025,20230329,dry,D5,downstream,dry,5.809
TC_RSC_Dr_P5_026,20230329,dry,D5,downstream,dry,5.704
TC_RSC_Dr_P5_027,20230329,dry,D5,downstream,dry,5.591
TC_RSC_Dr_P5_028,20230329,dry,D5,downstream,dry,5.728
TC_RSC_IS_P1_029,20230621,in-stream,I1,upstream,submerged,5.073
TC_RSC_IS_P1_030,20230621,in-stream,I1,upstream,submerged,5.455
TC_RSC_IS_P1_031,20230621,in-stream,I1,upstream,submerged,5.849
TC_RSC_IS_P1_032,20230621,in-stream,I1,upstream,submerged,5.824
TC_RSC_IS_P4_033,20230621,in-stream,I4,downstream,submerged,5.231
TC_RSC_IS_P4_034,20230621,in-stream,I4,downstream,submerged,5.24
TC_RSC_IS_P4_035,20230621,in-stream,I4,downstream,submerged,5.467
TC_RSC_IS_P4_036,20230621,in-stream,I4,downstream,submerged,5.485
TC_RSC_IS_P4i_037,20230621,in-stream,I4,downstream,island,5.655
TC_RSC_IS_P4i_038,20230621,in-stream,I4,downstream,island,5.628
TC_RSC_IS_P4i_039,20230621,in-stream,I4,downstream,island,6.533
TC_RSC_IS_P4i_040,20230621,in-stream,I4,downstream,island,6.489
TC_RSC_Dr_P4_041,20230621,dry,D4,upstream,dry,6.554
TC_RSC_Dr_P4_042,20230621,dry,D4,upstream,dry,6.223
TC_RSC_Dr_P4_043,20230621,dry,D4,upstream,dry,5.792
TC_RSC_Dr_P4_044,20230621,dry,D4,upstream,dry,6.06
TC_RSC_Dr_P5_045,20230621,dry,D5,downstream,dry,6.089
TC_RSC_Dr_P5_046,20230621,dry,D5,downstream,dry,6.098
TC_RSC_Dr_P5_047,20230621,dry,D5,downstream,dry,5.944
TC_RSC_Dr_P5_048,20230621,dry,D5,downstream,dry,5.877
TC_RSC_IS_P1_049,20231205,in-stream,I1,upstream,submerged,5.739
TC_RSC_IS_P1_050,20231205,in-stream,I1,upstream,submerged,5.942
TC_RSC_IS_P1_051,20231205,in-stream,I1,upstream,submerged,5.907
TC_RSC_IS_P1_052,20231205,in-stream,I1,upstream,submerged,6.102
TC_RSC_IS_P4_053,20231205,in-stream,I4,downstream,submerged,6.01
TC_RSC_IS_P4_054,20231205,in-stream,I4,downstream,submerged,5.351
TC_RSC_IS_P4_055,20231205,in-stream,I4,downstream,submerged,5.629
TC_RSC_IS_P4_056,20231205,in-stream,I4,downstream,submerged,5.763
TC_RSC_IS_P4i_057,20231205,in-stream,I4,downstream,island,5.831
TC_RSC_IS_P4i_058,20231205,in-stream,I4,downstream,island,5.864
TC_RSC_IS_P4i_059,20231205,in-stream,I4,downstream,island,6.171
TC_RSC_IS_P4i_060,20231205,in-stream,I4,downstream,island,7.357
TC_RSC_Dr_P4_061,20231205,dry,D4,upstream,dry,6.256
TC_RSC_Dr_P4_062,20231205,dry,D4,upstream,dry,6.721
TC_RSC_Dr_P4_063,20231205,dry,D4,upstream,dry,6.167
TC_RSC_Dr_P4_064,20231205,dry,D4,upstream,dry,6.206
TC_RSC_Dr_P5_065,20231205,dry,D5,downstream,dry,6.134
TC_RSC_Dr_P5_066,20231205,dry,D5,downstream,dry,6.345
TC_RSC_Dr_P5_067,20231205,dry,D5,downstream,dry,6.112
TC_RSC_Dr_P5_068,20231205,dry,D5,downstream,dry,6.155